4KHz X(mg),Y(mg),Z(mg)
0.16,1.19,0.04
2.60,2.21,-2.23
0.61,2.23,0.41
-1.15,1.43,1.72
-1.48,0.18,-0.08
0.62,0.02,0.29
-0.08,1.45,1.68
-0.64,-1.72,0.31
-2.58,-5.35,0.10
-0.80,-3.87,-0.70
-0.62,0.21,-0.39
0.98,-2.89,-0.41
-1.33,-0.88,1.19
-1.39,0.29,0.68
0.51,0.59,-0.35
0.49,0.10,0.84
0.33,0.61,-0.88
0.23,2.66,1.54
2.25,1.93,1.60
3.18,1.52,2.38
3.75,1.50,3.07
0.86,-1.52,2.93
1.99,-4.22,-2.36
-0.47,1.25,-1.41
1.43,1.70,4.37
2.54,1.60,2.71
1.91,2.17,-3.01
1.27,-1.91,-2.75
0.92,-2.95,-0.35
1.31,0.31,-0.20
-0.41,-1.04,-0.37
-0.25,2.09,1.29
2.42,-1.97,1.13
1.39,-3.36,1.89
0.61,-0.76,0.96
-0.21,4.30,1.97
0.90,2.70,3.46
-0.55,0.23,1.07
0.96,-1.82,2.25
-1.00,-1.29,1.52
-0.84,3.30,-0.29
-1.45,2.85,-0.25
-2.71,4.16,2.54
-1.74,1.46,1.23
-0.43,0.68,-0.76
-1.07,2.48,1.91
-1.00,2.13,0.25
0.02,1.45,2.81
0.43,1.29,2.83
-3.11,0.92,-2.05
-0.74,-1.84,-1.27
-1.19,-3.65,-2.30
-0.21,-1.68,-2.30
-1.15,0.02,-1.78
1.17,-0.08,1.29
1.41,1.41,2.64
1.54,-0.64,1.31
2.38,-0.59,-1.07
0.10,-1.72,-4.12
-1.41,-2.11,-0.62
-2.54,-0.02,-0.66
-3.07,-2.64,-0.80
-3.81,-5.29,-1.50
-1.87,0.57,-1.31
-3.36,2.50,-1.86
0.06,0.82,1.56
-1.48,-3.52,-0.20
-2.03,-6.17,0.14
-0.59,-3.61,-0.16
-1.74,-4.04,0.31
0.21,-4.96,0.37
0.31,-9.28,-0.25
0.74,-2.85,-2.29
-2.36,0.66,-1.97
-0.90,0.41,-4.14
-0.57,0.16,-0.96
0.92,-0.57,-0.72
3.50,-1.02,-0.16
2.97,4.82,-1.93
-0.18,1.27,0.37
-1.76,1.02,-1.99
-1.09,-0.57,-1.68
1.87,0.51,-0.45
1.60,-0.04,0.88
1.13,0.84,0.76
0.90,4.53,-0.02
-1.02,0.64,0.41
-0.98,-1.70,3.73
0.33,1.45,2.11
1.17,4.73,2.40
-0.27,-0.16,3.38
2.71,-4.39,-0.43
1.64,-3.16,3.73
-1.41,-1.31,-1.84
-0.18,-2.85,1.84
2.11,-2.46,1.66
-0.90,-2.03,-0.59
1.15,-1.25,0.62
3.20,2.89,2.81
1.89,3.12,-0.02
0.68,0.55,-2.36
1.46,-2.79,-3.40
1.72,-1.37,-1.27
0.00,2.62,0.86
-0.76,2.87,-2.54
1.62,-0.06,-1.89
0.39,-1.99,-0.49
0.18,-1.78,-1.50
-3.46,-0.29,-0.37
0.29,1.07,-0.90
0.45,2.13,-2.71
-2.75,3.36,-3.98
-2.21,2.17,1.82
1.95,5.88,3.73
2.38,1.68,1.91
2.27,3.16,0.18
5.57,3.81,-4.36
2.13,3.75,-2.97
0.68,3.81,-2.07
0.86,3.77,-0.82
0.27,1.99,1.27
1.58,-3.28,0.45
2.07,-1.62,1.25
-2.52,0.84,3.03
0.02,0.27,0.53
0.74,-2.23,-0.29
0.23,-3.20,-1.95
1.25,-2.27,-1.05
0.39,-4.16,0.76
0.27,-0.14,-1.52
-2.21,2.97,-4.82
-2.09,-1.25,-0.29
-0.64,-0.78,0.31
-0.02,-0.72,1.78
-0.51,-0.98,2.15
-0.88,1.78,0.27
-1.68,0.00,-1.95
-2.34,-3.71,-1.15
1.02,-1.09,-1.87
1.09,-0.72,1.13
0.96,-3.12,1.87
-0.14,-1.09,-2.29
0.45,1.76,-2.75
0.10,2.21,-1.21
0.37,4.96,0.92
-2.87,5.18,-1.60
-3.79,1.50,0.80
-2.34,1.78,-0.25
2.54,0.84,-1.11
3.09,-0.82,-0.41
-0.18,-1.70,-0.96
-2.85,-2.27,0.64
-1.43,0.04,-1.60
3.73,2.52,-5.53
2.27,1.39,-2.11
0.00,-2.44,-2.17
-0.82,-0.29,-1.84
1.00,0.90,0.94
-0.04,-0.47,0.33
1.23,-1.11,-1.74
-0.66,-0.70,-2.29
-3.85,-1.52,-1.39
-1.27,0.57,3.38
0.45,1.02,2.93
1.04,-0.84,3.32
-1.13,-2.05,2.29
-3.20,-2.07,1.41
-0.10,-0.96,0.86
0.61,2.95,1.86
1.48,-0.16,2.54
1.37,-0.39,-0.06
1.56,0.55,-2.21
-0.21,-0.02,-0.29
-0.41,0.66,1.39
-1.76,2.42,0.16
-0.43,1.35,1.29
-1.27,1.48,-2.21
-2.17,1.21,-0.82
-4.84,-1.80,-0.14
-1.23,-1.99,0.68
0.06,-0.16,1.17
-1.43,-1.41,1.60
-2.99,-3.95,-0.74
-1.02,-3.67,0.86
0.08,0.90,2.11
-0.43,3.34,1.17
-0.04,2.23,1.09
-0.08,-0.29,1.74
0.90,-1.23,1.82
0.96,0.64,-0.37
0.06,2.15,0.39
0.45,-0.16,3.01
-0.61,-3.12,3.14
-0.33,-3.46,2.46
-1.31,3.28,1.13
-1.45,1.70,1.04
-1.76,-0.29,1.87
0.14,3.03,2.79
1.23,-0.80,-0.68
-0.74,-0.41,-2.13
-0.68,-2.50,-0.39
-0.66,0.96,0.02
-4.47,0.57,2.03
-1.11,1.46,-3.07
-0.76,3.36,-2.81
-0.98,3.01,2.27
-2.38,1.15,0.12
-1.62,-0.51,-4.06
-1.74,-5.59,-3.32
0.33,-6.39,-1.95
-0.80,-4.47,0.68
-6.86,-3.22,1.66
-2.34,1.76,2.13
1.35,-0.25,1.52
1.43,-1.04,1.99
1.93,-1.87,2.36
0.88,-0.61,3.01
-0.20,0.18,1.93
2.62,-1.74,0.20
4.61,0.72,0.72
3.44,1.58,0.21
2.56,2.64,2.64
0.72,1.95,2.05
1.04,-2.60,1.66
-0.53,-2.42,-0.59
1.21,2.81,-0.61
2.01,3.65,1.25
1.19,3.65,1.21
1.99,1.56,0.20
1.91,-0.51,-2.64
-0.43,-0.14,-3.50
-0.59,-2.73,-7.15
0.23,-2.05,-4.86
-1.78,-2.44,-0.55
-0.70,2.93,-2.73
0.06,2.81,-3.14
0.96,2.30,0.00
0.82,-0.59,0.10
1.68,2.91,-0.76
0.06,-1.33,1.13
-0.86,-3.28,4.06
-0.08,-3.36,4.75
0.68,-2.27,4.26
1.56,-4.08,3.07
1.19,-4.18,1.72
-0.02,0.47,-0.55
-2.07,2.79,0.27
-0.33,0.14,3.55
2.07,-2.48,5.43
0.57,-0.16,1.46
0.88,-0.96,2.54
-1.66,-0.31,0.14
-3.57,2.75,0.14
-1.89,-2.07,-2.03
-0.80,-0.64,-2.54
-0.57,-0.94,-0.64
0.49,-0.29,2.83
-0.35,-1.13,1.68
-0.08,-0.31,-0.59
2.05,1.93,-2.29
0.00,0.25,-0.70
-1.02,-1.17,4.73
0.31,-2.66,1.97
0.27,-0.39,-0.12
-3.03,0.90,1.23
-3.36,-1.07,2.95
-2.30,-1.43,-0.31
2.50,-2.17,1.52
4.53,-2.56,4.16
2.44,-2.52,4.47
2.03,-1.31,0.06
2.11,-2.07,-1.23
0.45,-0.90,-1.31
0.72,0.04,-0.49
3.65,-1.02,-1.35
-1.41,-1.27,-2.93
-1.95,-3.11,-3.01
-0.47,-2.38,-3.34
1.48,-0.16,-1.60
0.47,3.79,-0.90
-1.02,-0.12,0.00
-0.23,-0.41,1.19
-0.64,-0.96,-0.23
-0.96,-2.03,2.93
-0.80,1.27,3.77
-0.90,-1.27,3.55
-2.07,-4.61,1.46
-1.64,-2.79,-1.64
-0.53,-0.27,-1.68
1.41,-1.39,-1.50
0.59,-0.88,-0.70
1.07,0.70,0.70
-0.41,-2.77,1.87
-2.44,-3.28,-0.25
-1.09,-0.45,-0.61
1.72,-0.39,-0.23
2.40,0.76,-0.62
-4.10,-1.19,2.40
-0.43,-2.42,1.64
2.62,1.23,-2.32
0.25,0.53,-1.66
-1.82,2.64,1.56
-2.85,4.88,0.72
-3.03,2.32,1.70
-0.27,-0.12,-0.29
2.13,-3.18,1.50
2.56,0.86,2.17
1.66,3.42,-1.68
-0.86,1.58,-0.31
-0.43,1.58,0.33
0.90,1.99,-0.94
0.35,-0.37,0.88
-0.88,0.06,3.54
-0.61,0.78,2.79
0.45,3.34,0.43
2.58,2.91,-1.66
2.09,-1.25,1.50
-1.15,-1.74,2.01
-0.72,-0.82,-0.10
-0.49,1.05,-2.25
-0.96,3.11,0.23
0.70,0.20,1.74
0.64,-2.68,0.25
0.98,-2.95,-0.35
1.04,-2.44,-0.74
1.78,-1.33,-1.05
1.31,-4.79,-1.46
1.29,-6.41,0.02
3.01,-1.02,3.07
0.86,4.36,1.97
-0.23,1.04,0.92
2.93,0.98,1.86
2.56,0.35,0.25
1.95,-0.39,-1.82
-0.04,-0.55,-2.34
1.43,0.47,-1.07
1.82,1.23,1.15
0.92,1.05,-1.07
-1.21,1.04,-1.84
-0.96,-0.64,2.07
-1.21,3.30,-0.82
2.40,2.32,-0.23
2.73,0.31,0.37
0.27,3.44,-1.27
-1.60,1.37,1.19
-0.88,1.91,5.31
0.62,2.56,3.55
1.43,3.50,0.25
-0.16,4.14,-2.34
2.40,3.09,-1.43
1.64,0.47,-3.98
1.29,3.96,-1.09
1.39,3.61,-0.14
0.10,-0.21,0.08
-2.48,2.15,-0.61
-5.10,-1.56,-0.72
-1.31,-1.74,-1.19
-1.76,1.05,-1.07
-1.70,1.05,0.23
-2.01,1.74,-0.72
-3.32,2.09,-1.89
-2.46,-3.44,-1.07
-0.12,-1.58,-0.37
-0.12,-1.25,1.02
1.58,-0.08,0.82
1.62,-0.59,-0.70
2.34,-0.31,0.59
-0.37,-1.21,4.69
-2.30,-1.04,4.37
0.29,0.86,1.02
1.54,2.15,5.00
0.80,3.89,4.00
1.41,-0.37,2.32
-1.07,-0.04,2.54
-1.21,-2.29,-2.05
-2.83,-1.23,-4.26
-3.30,0.37,-1.45
0.14,-1.56,0.98
-1.27,2.13,-1.56
-1.00,-0.41,-3.85
0.16,-1.29,-1.52
0.94,-2.01,-1.60
1.37,-1.27,-3.11
3.87,2.83,-3.63
1.72,4.51,0.16
-0.59,-0.59,0.59
-0.45,-0.27,-1.74
1.99,-0.27,-3.67
3.71,1.33,-2.25
-0.25,4.88,0.18
-2.21,2.32,2.21
-1.52,-1.95,-1.62
0.49,-2.11,-3.57
0.02,3.48,-1.13
-0.08,2.46,-2.32
0.02,-0.33,-1.72
-0.74,-1.89,-3.63
-1.86,-3.89,-3.22
-1.19,1.70,-1.23
-0.62,3.48,-0.86
1.74,-0.04,1.04
0.92,0.43,1.82
1.27,1.35,3.32
0.20,1.35,1.23
-0.55,1.21,0.86
-0.12,-2.25,-2.87
0.59,-0.45,-3.50
-0.06,-1.66,-3.67
-1.00,6.02,1.46
-1.19,5.45,-1.91
-0.04,-1.50,0.18
-0.72,-3.73,-0.25
-2.87,-0.88,1.52
-1.87,-1.37,1.76
-0.47,-0.27,-1.89
-1.21,0.04,-1.23
0.62,-0.68,0.92
-0.31,1.17,1.33
-2.27,1.54,0.55
0.16,1.89,0.33
-0.06,0.29,0.86
-1.43,0.16,3.22
-2.87,0.18,0.04
0.84,-1.43,-2.50
0.06,-0.49,-1.13
0.08,-0.02,0.53
0.53,1.50,0.29
-0.14,1.37,2.01
-1.58,2.70,1.27
-1.41,-1.80,-0.16
0.31,-4.16,-3.85
1.25,-3.57,0.98
3.81,-1.89,1.07
1.82,-2.40,0.37
1.64,-1.23,-0.82
2.11,4.98,0.80
3.52,3.81,2.07
2.05,2.32,3.65
-1.02,0.64,3.46
-2.73,1.33,-0.82
0.10,0.10,-1.50
0.86,-5.53,-0.80
-1.64,-3.40,-2.99
1.13,-0.74,1.89
0.80,-0.45,3.85
-1.02,-1.91,1.91
0.37,-1.39,-0.62
1.50,-1.35,-0.76
0.47,-1.46,2.03
0.08,-0.94,1.39
1.91,-1.48,-1.74
0.66,-3.75,-2.70
-0.02,-6.15,-0.20
3.77,-2.27,-2.56
-2.05,-1.80,-4.75
-3.32,-2.46,-4.02
-2.23,0.04,0.35
0.23,3.26,2.91
3.11,3.05,3.50
1.21,2.09,3.96
-1.39,5.41,2.38
-2.07,3.34,0.47
-1.00,1.31,1.37
2.32,3.54,3.24
0.47,0.43,2.11
-0.64,-2.64,2.01
1.04,-2.27,-1.95
2.52,-2.50,-2.87
0.51,-1.91,-4.41
0.78,-3.28,-0.47
0.59,-0.53,-2.95
0.88,-0.20,-2.77
1.27,-1.37,-2.68
2.40,-0.68,0.98
4.75,0.41,3.09
3.48,1.25,0.62
2.15,3.81,0.12
1.29,2.21,1.52
0.12,-2.09,0.94
0.61,-0.68,-1.80
-1.15,-1.46,-2.38
-0.16,-1.29,-0.66
-0.23,-0.10,2.38
0.06,-2.54,2.40
-0.88,2.21,0.23
-2.91,4.28,-1.54
-2.70,0.62,-1.60
-1.78,-0.08,2.36
-0.12,-0.14,0.64
0.80,-0.76,1.93
0.04,1.27,0.98
-0.18,-0.49,-0.90
2.30,2.66,-0.84
-0.78,-0.08,-1.09
-1.72,2.25,-1.43
-0.33,-0.31,-2.42
2.81,-0.49,-1.78
2.15,1.09,-0.35
1.60,0.98,-1.68
1.46,1.09,2.15
0.61,1.11,0.72
-1.89,-2.44,-3.36
0.25,-1.05,-2.44
3.07,-1.87,-2.42
0.82,-4.88,-3.79
2.23,-2.68,-4.82
-1.19,0.16,-0.37
-1.33,-0.66,0.76
0.49,3.32,0.59
1.27,7.93,2.46
0.92,5.62,-2.58
1.33,1.13,-0.06
0.31,0.35,0.31
1.25,-0.82,1.97
0.61,-4.02,4.12
0.61,-0.02,3.42
-2.56,1.74,1.72
-1.78,-0.27,1.66
-1.87,-1.13,2.07
-0.45,0.55,0.08
1.43,0.06,0.25
-0.90,-2.73,2.97
-0.92,1.58,6.87
0.86,2.09,4.82
-1.05,0.92,-0.64
-2.13,1.91,-1.13
0.49,2.32,1.45
-1.33,0.84,1.45
1.04,1.50,-1.99
2.83,-1.68,-0.92
1.00,-5.37,2.64
-1.50,-1.25,1.00
-0.90,-0.57,-2.62
0.12,-2.09,-4.36
2.97,-2.09,-2.54
0.33,-2.71,1.02
-0.33,-4.82,2.11
-1.99,-0.64,2.40
-1.62,2.46,-0.78
0.82,2.03,1.07
0.76,5.04,2.70
-0.96,1.74,-0.25
-1.11,-1.43,-4.10
-0.55,-5.00,-0.33
-2.09,-3.89,-0.86
-3.01,-3.81,-0.88
0.08,-3.46,-1.48
0.66,-3.85,-1.86
-3.34,-0.33,-1.76
-1.25,-0.18,0.64
0.16,-0.41,-0.88
0.02,0.96,1.48
-0.94,-0.72,2.64
-0.33,-2.46,2.97
-0.62,3.95,0.84
-1.21,1.99,1.76
-1.72,1.15,-0.61
-0.43,0.33,-2.52
0.14,0.72,-4.30
2.42,-4.65,0.06
0.31,-6.19,-0.64
0.43,-3.93,-2.73
1.37,-5.80,-1.74
2.03,-3.05,1.93
-0.49,-0.57,2.71
0.33,-1.15,-0.29
-2.19,-0.90,-1.70
-3.67,4.79,-0.59
-0.74,3.05,0.96
1.80,-1.29,-0.82
0.04,-2.97,1.04
1.17,0.12,-0.61
0.53,1.02,0.82
-0.66,1.97,-2.77
1.50,5.27,-2.83
1.76,0.90,0.62
2.38,-0.68,1.02
0.96,-3.93,3.32
-1.29,-3.09,1.46
-0.80,-1.43,-0.80
0.59,0.59,-0.70
-0.23,2.15,-2.62
0.12,-2.60,0.14
0.37,-3.81,-1.66
0.23,-0.06,-7.64
0.53,1.05,-0.80
2.46,1.64,1.84
1.91,3.96,1.74
0.80,1.74,3.16
-0.82,-0.08,4.53
0.66,1.17,2.19
-0.98,-0.12,-1.37
-0.72,0.66,-4.73
-0.27,2.77,-2.11
-3.65,-0.25,0.45
-2.19,0.72,-2.38
0.37,5.04,-1.02
1.17,1.56,-1.41
-0.47,-0.62,-2.70
-0.94,0.94,0.04
-1.66,-0.02,0.84
0.18,-1.68,2.30
1.66,-0.94,-3.20
-1.41,-1.31,-5.00
-2.77,-3.05,-1.50
-0.47,-4.47,-2.83
0.51,0.18,-2.64
1.17,2.68,-1.68
3.40,-0.59,0.02
2.56,-0.53,0.55
1.54,-1.17,0.55
0.41,-2.95,2.19
-0.47,-3.93,0.78
-0.80,-2.71,-3.55
-2.23,-0.45,-2.54
-0.18,1.50,0.37
1.31,1.05,0.76
1.86,1.19,-0.43
1.66,-1.45,0.37
1.29,-1.15,-2.03
-0.35,-0.64,0.04
-3.05,1.15,-0.37
-2.70,3.38,0.08
0.35,0.62,0.62
-0.33,3.93,-0.49
-0.62,2.64,-0.08
-0.94,0.04,1.05
2.38,2.81,0.78
2.73,2.11,1.19
1.62,0.86,0.12
0.66,-3.54,-0.66
-0.18,-0.64,-0.25
1.48,0.47,-0.35
0.23,0.25,-0.80
1.31,-0.51,-1.72
-0.23,1.48,-4.39
0.57,3.46,-7.21
0.41,1.97,-4.04
2.70,1.04,-0.74
3.61,3.30,1.89
1.72,1.56,0.49
1.60,-3.63,-0.47
2.52,-4.06,-2.48
3.09,-3.30,-1.87
2.38,1.31,-0.08
0.76,3.83,1.89
-0.35,2.29,-1.13
0.88,0.39,2.21
0.92,0.74,3.50
1.35,1.68,4.00
1.27,0.02,3.32
3.48,-0.84,1.35
2.77,-1.37,1.37
0.86,-1.46,1.68
-1.11,3.42,-2.11
1.25,0.45,-2.27
3.32,-2.75,1.76
1.62,1.00,1.02
-0.61,2.87,0.29
0.29,3.54,5.43
-2.09,2.40,2.89
-1.13,0.29,1.89
-0.59,-0.33,-1.95
0.88,-0.02,-1.23
-0.35,0.57,-1.21
3.09,0.08,-0.39
0.57,-0.64,2.42
-1.50,0.20,6.54
1.87,1.62,3.77
-1.48,-2.17,5.14
-0.66,-4.30,1.62
0.02,-7.85,0.64
0.16,-1.00,1.64
-0.64,2.81,0.70
-0.64,1.35,-2.46
-1.58,1.56,-3.85
-1.70,1.46,3.16
-0.61,-1.31,4.28
-2.66,0.59,1.45
0.68,1.21,0.86
1.62,2.68,3.05
0.74,3.09,0.82
-0.88,3.24,-0.57
-3.96,0.18,-2.34
-2.48,-1.41,-1.33
-0.02,1.66,3.14
2.34,1.86,3.18
5.51,-0.82,-0.66
2.29,-3.14,-2.29
-0.82,0.51,0.29
-0.29,0.61,0.08
-0.31,-2.29,1.74
0.96,0.37,0.84
-1.82,2.09,-2.93
1.82,2.83,-1.37
1.02,-1.76,-1.41
1.15,-4.71,1.09
-0.64,-1.09,0.23
0.45,2.60,-0.88
2.21,-1.07,-4.34
2.17,-0.78,-2.99
1.21,-0.74,-0.43
-1.09,1.93,0.02
-2.48,-2.05,1.74
1.46,-2.34,2.03
-0.37,-0.98,-0.33
-2.27,0.57,-0.47
-0.10,-0.98,0.92
0.55,-5.20,0.68
-1.76,-3.71,0.70
-1.70,0.55,0.70
1.02,2.77,1.23
1.82,0.92,-1.21
0.21,1.99,-2.09
-0.43,2.89,-1.99
-2.19,3.83,-0.61
-3.11,2.52,-1.89
0.45,1.09,0.27
-0.78,1.05,0.33
-2.19,1.07,-0.51
0.35,0.92,-2.54
-0.31,-0.14,2.23
2.13,0.02,2.29
0.57,0.35,0.23
-0.27,4.49,-0.76
-0.86,-1.66,-0.92
-0.04,-1.56,0.70
-1.48,0.35,1.48
-2.29,-2.44,1.89
-1.56,-1.13,-2.68
-0.51,1.13,-5.96
1.78,-0.18,-2.21
2.32,-2.54,-2.27
-1.91,-1.39,-2.70
-1.45,1.87,2.27
1.43,-3.50,2.05
-0.29,-0.98,-1.33
-2.13,-3.09,-5.31
-2.93,-4.71,-4.02
0.76,-1.93,-4.04
1.91,1.68,0.82
3.07,-0.96,-1.74
1.86,1.48,-3.59
0.90,1.41,1.31
0.64,0.25,0.27
-1.07,1.48,0.78
-0.33,-1.82,2.46
-0.12,2.19,-1.46
-0.55,3.26,-3.03
0.29,-0.10,-1.84
0.33,-2.46,2.07
-1.27,-0.10,2.34
-4.49,1.33,0.98
-1.27,1.93,-0.45
0.80,0.27,-1.93
0.53,-1.37,-1.21
-0.84,-1.82,0.64
-1.19,-3.69,-1.04
-3.75,-0.27,-2.25
-1.04,-1.39,-1.64
0.76,-0.74,-0.62
0.35,-1.48,-0.04
1.00,1.68,0.62
-0.90,1.27,0.90
1.95,-0.25,2.34
-1.72,2.87,1.11
-2.30,1.99,0.98
1.66,0.70,2.83
1.89,1.97,-1.93
2.87,0.70,1.46
1.09,0.47,1.33
0.35,0.66,1.89
0.68,-0.76,3.36
-1.35,4.49,0.66
-1.15,2.73,-0.27
1.21,0.62,-0.94
0.35,-2.68,-2.09
2.68,-3.18,-0.18
-0.47,0.84,1.46
-3.54,-0.20,0.80
-2.11,-0.08,4.16
-0.10,1.80,0.68
1.17,2.66,-3.09
1.80,1.78,-5.39
0.76,0.10,-4.43
-1.05,-2.71,-2.36
-1.68,-2.71,-2.07
1.39,2.29,-1.29
0.62,2.46,0.39
1.56,1.43,0.10
2.40,1.82,-0.47
-0.06,2.40,-3.55
-1.46,1.93,0.88
0.31,4.88,0.57
0.27,7.99,1.13
0.16,1.29,1.70
-0.27,-0.06,1.86
-3.81,1.80,2.32
-2.29,3.11,1.45
1.66,5.25,-1.09
-0.25,6.11,-1.23
0.90,1.21,-1.19
2.27,-1.74,-0.49
0.20,-1.04,-3.38
-0.68,-0.74,-0.31
2.85,-3.28,3.05
1.46,-1.60,5.41
2.34,1.78,2.79
0.39,0.72,1.29
-2.13,0.72,-0.70
0.08,-2.50,-1.93
1.60,-3.28,-2.73
1.29,2.40,-0.53
-0.78,1.48,1.52
-3.09,0.02,0.84
-0.39,-0.16,1.27
-0.12,1.23,-1.60
1.78,-1.56,2.87
1.43,-2.05,3.01
-1.56,1.07,-1.76
-0.68,-0.49,-3.59
1.66,-1.95,-0.88
1.58,-2.01,2.46
1.56,-0.90,2.07
1.29,-1.25,2.58
1.00,-0.29,-0.29
2.29,-5.10,1.43
1.74,-3.20,2.89
2.40,0.06,-0.14
0.55,3.36,-1.21
-1.76,1.95,-1.82
-0.35,-0.23,-1.93
0.70,1.48,2.71
2.13,2.36,3.48
1.39,1.39,2.60
-1.31,-0.23,0.94
0.86,-1.05,3.57
0.43,-0.41,4.36
-1.99,-1.91,3.11
0.08,-4.41,1.78
0.06,-3.54,1.70
-0.02,-0.96,1.46
-0.04,3.30,1.27
-2.79,1.68,2.91
1.21,-2.62,1.43
4.12,-0.61,-0.66
1.21,3.26,-2.79
2.34,1.43,-1.17
1.87,-0.18,-1.54
0.43,-3.57,0.53
-0.29,-0.74,-2.15
2.91,-0.53,-1.70
0.29,-4.86,1.35
-0.18,-2.64,-0.55
0.49,-1.17,-0.02
-1.46,-1.89,-2.64
-1.84,4.69,-3.07
-0.10,2.64,-1.64
2.17,1.09,-1.23
0.02,1.46,-1.93
0.10,-0.29,-0.76
-0.92,2.07,2.34
-1.15,-0.25,2.36
1.27,-0.61,0.20
1.31,1.84,0.72
-0.43,1.00,1.74
1.95,-3.54,-1.27
2.21,2.99,0.53
1.00,3.85,0.96
1.82,-0.47,0.06
-2.23,-0.04,0.64
-0.82,1.11,0.61
0.72,3.44,1.05
-0.59,0.43,3.30
1.66,0.68,3.73
-2.32,-1.02,1.23
-2.25,-2.50,2.01
-1.25,1.29,-0.74
-1.87,4.22,-1.41
2.01,-0.64,-5.72
3.48,-1.70,-4.20
2.42,-0.62,-0.06
0.23,-0.08,0.68
-2.70,-0.18,-2.09
0.57,-2.29,-3.81
-0.21,-0.35,-2.27
-2.36,-0.64,-0.78
-2.01,-2.44,-3.18
-0.59,-0.02,-0.49
-0.23,1.82,-5.02
2.68,1.07,-1.45
2.52,4.20,2.99
0.02,4.00,0.78
-0.47,0.29,-1.15
-0.51,-0.61,0.25
2.03,-1.93,0.14
-1.17,0.66,0.57
-1.97,-0.92,-0.92
-3.96,1.93,0.49
-1.07,-0.57,-3.38
1.11,-0.18,-2.48
-0.49,0.66,-0.68
-4.00,1.25,-2.03
-3.71,2.30,-2.71
-0.10,-1.00,-3.30
0.23,0.10,-0.53
0.53,-3.26,-1.45
0.53,-2.56,-3.42
-1.78,0.29,-2.70
-0.68,0.35,-1.39
-3.26,0.39,-3.77
0.21,-2.64,1.13
4.41,-1.41,1.82
2.42,-0.08,0.61
-0.29,-1.13,2.01
-0.55,-0.37,1.50
-0.47,-1.91,0.25
-2.36,-0.33,2.48
-1.64,-1.54,4.06
-3.09,-2.68,1.74
-1.99,-4.69,-0.43
2.21,-3.87,0.84
1.76,-2.32,2.01
0.70,0.62,0.53
0.51,1.70,0.27
2.25,0.25,0.94
2.29,0.23,-0.06
-5.00,2.73,2.15
-2.64,1.70,2.27
-0.23,2.38,-0.45
-0.39,3.07,-3.32
0.41,3.28,0.78
1.11,0.20,0.39
0.14,-1.31,-0.49
-1.00,2.27,-1.37
-1.31,-0.61,0.21
-0.66,2.27,2.27
1.66,0.33,2.21
0.41,-0.66,-1.72
-0.74,1.23,0.61
-0.25,-0.64,0.92
-0.10,-1.35,-1.64
-0.70,-0.47,3.36
1.39,-0.45,2.73
-1.29,1.04,3.63
0.64,2.95,3.09
1.52,0.61,1.11
-0.92,-0.98,2.73
-0.35,-1.95,6.00
-0.98,-1.13,0.08
-2.40,3.65,-1.56
0.84,2.27,-1.11
-1.19,-4.12,-0.14
-2.27,0.04,3.59
-1.87,-0.59,1.66
-0.66,-4.32,-1.80
0.92,1.37,-0.02
-1.76,1.09,1.86
-0.12,-1.87,2.81
0.14,-1.74,1.15
-0.55,1.60,-0.72
-0.12,-1.87,-2.15
-0.49,-0.35,-2.09
0.14,1.64,-1.13
0.25,-0.29,0.78
-0.33,-1.54,-2.09
0.04,-0.20,-0.14
1.64,-0.10,4.55
-0.84,2.64,3.87
-2.01,1.46,2.54
-1.86,0.98,1.37
-0.29,1.11,3.12
1.78,-0.12,-4.36
3.05,-0.41,-3.54
3.20,0.14,-0.18
1.23,-3.36,3.05
-1.09,-2.91,3.48
0.90,0.88,0.96
-0.12,1.74,-0.61
-1.21,-1.19,0.02
1.86,-4.04,-1.04
3.05,-2.93,-0.49
1.60,-0.82,2.73
0.70,-0.20,1.58
-0.53,0.14,3.14
1.68,1.64,-0.78
-0.64,2.60,0.18
-1.19,1.17,0.47
-1.31,0.66,-1.91
0.94,0.68,-2.13
1.27,-5.23,1.15
-1.00,-3.96,1.27
-0.21,-0.23,-0.84
-1.52,1.60,-2.60
-0.74,-0.80,-2.62
1.87,-1.97,-0.82
0.78,0.80,1.02
2.19,-1.54,2.87
1.50,0.43,0.12
2.07,1.21,0.96
-0.78,-0.70,1.76
-3.77,0.98,-1.13
-2.23,0.06,-1.91
-0.51,1.80,-2.09
-0.57,3.98,-0.45
-4.71,0.06,2.38
-1.48,1.27,4.59
0.45,2.73,2.75
0.39,4.82,4.02
-1.37,0.88,2.54
-2.46,2.70,3.11
0.74,-0.25,0.08
-0.49,-1.02,1.64
-1.09,1.74,4.53
-1.19,5.39,1.86
-1.74,4.00,4.37
-0.62,0.04,2.97
0.29,-2.42,-1.07
1.64,-0.21,0.25
0.90,0.21,0.92
0.25,-1.17,-0.47
-0.08,-0.62,-1.68
0.90,-1.15,0.57
2.25,-1.27,4.04
0.49,-3.50,3.03
-0.66,0.04,-0.14
-4.10,2.99,-2.32
-2.66,1.05,-1.99
-0.14,-1.09,-2.44
-1.04,0.31,-0.62
-2.44,-0.41,1.41
-1.02,0.96,1.04
-0.41,1.50,-0.08
-2.11,1.09,1.05
-4.41,1.64,0.74
-4.04,1.11,-0.35
-2.30,-0.53,-1.25
1.89,-1.19,0.84
